Token: CLASS      Symbol: ReservedWord(Class)
Token: Pgm1       Symbol: Identifier(Identifier)
Token: {          Symbol: Delimiter(OpenBracket)
Token: CONST      Symbol: ReservedWord(Const)
Token: M          Symbol: Identifier(Identifier)
Token: =          Symbol: Op(Assignment)
Token: 13         Symbol: Literal(Integer)
Token: ,          Symbol: Delimiter(Comma)
Token: N          Symbol: Identifier(Identifier)
Token: =          Symbol: Op(Assignment)
Token: 56         Symbol: Literal(Integer)
Token: ;          Symbol: Delimiter(Semi)
Token: VAR        Symbol: ReservedWord(Var)
Token: X          Symbol: Identifier(Identifier)
Token: ,          Symbol: Delimiter(Comma)
Token: Y          Symbol: Identifier(Identifier)
Token: ,          Symbol: Delimiter(Comma)
Token: Z          Symbol: Identifier(Identifier)
Token: ;          Symbol: Delimiter(Semi)
Token: Y          Symbol: Identifier(Identifier)
Token: =          Symbol: Op(Assignment)
Token: 97         Symbol: Literal(Integer)
Token: ;          Symbol: Delimiter(Semi)
Token: X          Symbol: Identifier(Identifier)
Token: =          Symbol: Op(Assignment)
Token: M          Symbol: Identifier(Identifier)
Token: *          Symbol: Op(Mop)
Token: N          Symbol: Identifier(Identifier)
Token: +          Symbol: Op(Addop)
Token: 18         Symbol: Literal(Integer)
Token: -          Symbol: Op(Addop)
Token: Y          Symbol: Identifier(Identifier)
Token: ;          Symbol: Delimiter(Semi)
Token: }          Symbol: Delimiter(CloseBracket)
